Title,Created,Doc ID,Doc Type,Gelöscht,Last Edited,Last Reviewed,Lifecycle,Notes,Pattern Tags,Project,Related Logs,Source for Knowledge,Stability,Stack,Verified
Marokko Packliste — 02.04.–15.04.2026,8. April 2026 21:09,DOC-1,Reference,No,8. April 2026 21:09,,Active,"Reisecheckliste mit Reiseapotheke, Wettercheck, Marokko-Hinweisen. Reference für zukünftige Marokko-/Nordafrika-Reisen.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Neurotransmitter Network,8. April 2026 21:16,DOC-3,Research,No,8. April 2026 21:16,,Active,"Theoretisches Fundament zu Dopamin, Serotonin, GABA. Stable weil grundlegende Mechanismen, nicht Stack-spezifisch.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Haltung & Mobilität,8. April 2026 21:16,DOC-6,Research,No,8. April 2026 21:16,,Draft,"Research-Page noch nicht ausgefüllt. Prompts raus, Output ausstehend.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Draft,,No
Freelance & Automation Kontext,8. April 2026 21:16,DOC-10,Reference,No,8. April 2026 23:53,,Active,Freelance-Identität und Architektur-Prinzipien. Spiegelung in profile-context Skill.,,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Energie-Stabilität,8. April 2026 21:16,DOC-5,Research,No,8. April 2026 21:16,,Active,"Research zu zyklischen Energie-Mustern, CAR, mitochondriellen Supplements, NEAT. Volatile weil eigene Beobachtungen integriert werden.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Volatile,,No
Theoretischer Full Stack,8. April 2026 21:16,DOC-8,Research,No,8. April 2026 22:36,,Active,Theoretischer Maximal-Stack inkl. Semax und Mikrodosing. Reines Bildungs-Dokument. Enthält in DE illegale Substanzen — NICHT als Handlungsanleitung gedacht.,,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Augenringe & Äußerlichkeiten,8. April 2026 21:16,DOC-7,Research,No,8. April 2026 21:16,,Active,Augenringe als subjektiv größtes ästhetisches Thema. Wichtige Erkenntnis: KFA-Reduktion kann strukturelle Augenringe verschlechtern.,,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Volatile,,No
Supplement Stack & Biohacking,8. April 2026 21:16,DOC-2,Research,No,8. April 2026 21:16,,Active,"Aktueller Supplement Stack mit Dosierungen + Research zu Antagonismen, Timing, Shilajit, NMN/NR. Wird laufend angepasst (Stack-Migration auf Morgen/Abend-Split geplant).",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Volatile,,No
Peptide Protokolle,8. April 2026 21:16,DOC-4,Research,No,8. April 2026 21:16,,Active,"Research zu Semax, Ipamorelin, Retatrutide. Stable weil mechanistisches Wissen. Keine konkreten Protokolle für Deniz — reines Research-Dokument.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Profil — Deniz Özbek,8. April 2026 21:16,DOC-9,Reference,No,8. April 2026 23:53,,Active,"Master-Profil von Deniz — Stammdaten, Studium, Tech Stack, Beruf, Health Baseline, KI-Interaktions-Präferenzen. Volatile weil Health-Daten sich ändern. Spiegelung in profile-context Skill.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Volatile,,No
HAYS Kontext,8. April 2026 21:17,DOC-11,Reference,No,8. April 2026 23:53,,Active,Vollständiger HAYS-Kontext aus alter Kontextdatei. Spiegelung in hays-context Skill (NEU). Volatile weil aktuelle SAP-Situation und Lizenzmanagement-Konzept in Bewegung sind.,,HAYS CEMEA (https://www.notion.so/33c91df4938681a2bb83c4c3998f67a5?pvs=21),,,Stable,"Power Automate, SharePoint",No
Power Automate Flows Dokumentation,8. April 2026 23:42,DOC-21,Workflow Spec,No,8. April 2026 23:42,,Active,"Vollständige technische Dokumentation aller 7 Power Automate Flows mit Node-Trees, Switch-Logik, kritischen Expressions, Lessons Learned. Komplementär zum hays-flows Skill — Skill ist die Quick-Reference, dieser Doc ist die Detail-Doku.","Sync, Webhook",HAYS CEMEA (https://www.notion.so/33c91df4938681a2bb83c4c3998f67a5?pvs=21),,,Stable,"DocuSign, Power Automate, SharePoint",No
Lizenzmanagement Lösung — Briefing & Konzept,8. April 2026 23:42,DOC-20,Briefing,No,8. April 2026 23:42,,Active,"Konzeptpapier für Christine Kampmann. Basis für Pitch an internen Power BI Experten. Dokumentiert Ist-Zustand, 3 Kernprobleme, Ziel-Architektur. Volatile weil aktiv in Bearbeitung.",Reporting,HAYS CEMEA (https://www.notion.so/33c91df4938681a2bb83c4c3998f67a5?pvs=21),,,Volatile,"Power Automate, SharePoint",No
Interviewleitfaden & Methodik,8. April 2026 23:54,DOC-24,Reference,No,8. April 2026 23:54,,Active,Interview-Leitfaden + Kandidaten-Übersicht. Volatile weil Leitfaden noch in Ausarbeitung.,,Bachelor Thesis (https://www.notion.so/33c91df4938681ed8fdefa0d0aa00ccc?pvs=21),,,Volatile,,No
Thesis Konzept & Forschungsdesign,8. April 2026 23:54,DOC-23,Briefing,No,8. April 2026 23:54,,Active,Forschungsdesign + Gliederung der Bachelor Thesis. Stable weil grundlegende Spec festgelegt. Änderungen an der Gliederung wären ein größerer Eingriff.,,Bachelor Thesis (https://www.notion.so/33c91df4938681ed8fdefa0d0aa00ccc?pvs=21),,,Stable,,No
Interview-Protokolle,8. April 2026 23:54,DOC-25,Reference,No,8. April 2026 23:54,,Draft,Container für Interview-Protokolle. Draft weil noch keine Interviews durchgeführt. Wechselt zu Active sobald erste Protokolle eingetragen.,,Bachelor Thesis (https://www.notion.so/33c91df4938681ed8fdefa0d0aa00ccc?pvs=21),,,Draft,,No
PulseBot n8n Workflows,9. April 2026 00:11,DOC-26,Workflow Spec,No,9. April 2026 00:11,,Active,"Technische Spec der 3 PulseBot n8n Workflows mit Node-Flows, Slack 3s-Timeout-Pattern, Lab-Email-Constraint. Stable weil Workflows produktiv im Einsatz sind.",Webhook,PulsePeptides (https://www.notion.so/33c91df4938681e781dbeee84f9ee3f7?pvs=21),,,Stable,"Python, n8n",No
Janoshik OCR Pipeline,9. April 2026 00:11,DOC-27,Workflow Spec,No,9. April 2026 00:11,,Active,Janoshik OCR Backfill-Flow + Spec für geplanten Mail-Check Flow mit determine_status() Logik. Stable weil Spec technisch fixiert ist.,"Enrichment, OCR",PulsePeptides (https://www.notion.so/33c91df4938681e781dbeee84f9ee3f7?pvs=21),,,Stable,"Python, n8n",No
Website & Booking (Framer),9. April 2026 00:24,DOC-29,Reference,No,9. April 2026 00:24,,Active,Framer-Website Struktur + Service Cards Wording + technische Details. Volatile weil kleine Iterationen laufend möglich.,,BellaVie (https://www.notion.so/33c91df4938681889034d53da9eb6839?pvs=21),,,Volatile,Framer,No
BellaVie Stammdaten & Portale,9. April 2026 00:24,DOC-28,Reference,No,9. April 2026 00:24,,Active,Stammdaten + Beschreibungen + Plattform-Credentials für lokale SEO. Semi-statisch. Dynamische Status-Updates leben in Logs + Tasks.,,BellaVie (https://www.notion.so/33c91df4938681889034d53da9eb6839?pvs=21),,,Volatile,,No
Fresha Setup & Preisliste,9. April 2026 00:24,DOC-30,Reference,No,9. April 2026 00:24,,Active,"Fresha Account-Info + vollständige Preisliste (84 Leistungen, 10 Kategorien) + Script-Architektur für Bulk-Upload. Volatile weil Preisliste sich ändern kann.",,BellaVie (https://www.notion.so/33c91df4938681889034d53da9eb6839?pvs=21),,,Volatile,,No
Cora AI Architecture,9. April 2026 00:52,DOC-31,Workflow Spec,No,9. April 2026 00:52,,Active,"Vollständige Cora AI Dokumentation: 3 Modi, System Prompts v1.0 (07.04.2026), Backend-Architektur (Edge Function Pipeline, 16 Supabase-Tabellen, Vertex AI Setup), Kosten, Patches, SaMD-Position, rechtliche Checkliste. Quelle: Cora's Space HQ (AI & Pipeline Doc + Cora Backend Status 07.04.2026).","Enrichment, Webhook",coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,"Python, Supabase",No
Design System,9. April 2026 00:55,DOC-33,Reference,No,9. April 2026 00:55,,Active,"Vollständiges Design System: Colors, Typography, Spacing, Motion, Haptics, Buttons, Border Radius (inkl. forbidden values), Bottom Sheet Pattern, Nutrient Colors, Glass UI. Stable weil Design Tokens gelocked sind. Source of Truth bleibt theme/theme.ts + theme/typography.ts + theme/motion.ts.",,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,React Native,No
Tech Stack & Conventions,9. April 2026 00:55,DOC-32,Reference,No,9. April 2026 00:55,,Active,"Tech Stack, NOT-Installed-Liste, File Structure, Store Persistence, Auth-Status, Mandatory Rules, Cursor Agent Discipline. Stable weil Stack-Entscheidungen selten ändern. Quelle: Cora HQ Tech Stack + Development Docs.",,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,"React Native, Supabase",No
Terminbuchungs-App — Konzept & Stand,9. April 2026 01:22,DOC-35,Briefing,No,9. April 2026 01:22,,Draft,"Konzept-Platzhalter für Terminbuchungs-App. Stack überlappt bewusst mit coralate. BellaVie als erster Dogfood-Case. Geparkt bis nach Thesis-Abgabe Mitte Juni 2026. Offen: Feature-Scope MVP, Monetarisierungsmodell, rechtliche Struktur.",,Terminbuchungs-App (https://www.notion.so/33c91df493868146b437e9746f880385?pvs=21),,,Draft,"React Native, Supabase",No
Thalor — Übersicht & Architektur-Prinzipien,9. April 2026 01:22,DOC-34,Briefing,No,9. April 2026 01:22,,Active,"Übergreifender Thalor-Kontext: Brand, rechtlicher Status, Stack, Architektur-Prinzipien, Active Clients, Betriebsausgaben-System. Bewusst minimal angelegt, wächst wenn Thalor konkreter wird.",,Thalor Agency (https://www.notion.so/33c91df49386818ba849e1b8bdbafaa8?pvs=21),,,Volatile,"Attio, Supabase, n8n",No
"Clay Integration (Templates, Tables, Tier System)",9. April 2026 11:34,DOC-41,Reference,No,9. April 2026 11:34,,Active,"Clay Integration komplett: Architektur, Templates, 4-Layer LinkedIn Waterfall, 3-Layer Email (Apollo Hauptquelle), 2-Layer Phone (nur DE), Decision Maker Tier System (3 Tiers), Attio Push Logik, Lead Quality System, Company Table 46 Spalten, Person Table 27 Spalten, Coverage Stats. Pro Attio-Liste eigenes Template. 2 Templates live. Spaltenlimit 48.",Enrichment,HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Stable,"Attio, Clay",No
Hetzner Server Setup (HeroSoftware),9. April 2026 11:34,DOC-43,Reference,No,9. April 2026 11:34,,Active,"Hetzner VPS Helsinki Ubuntu 24.04. http://n8n.thalor.de via Docker+Nginx+LE. /opt/hero/ Skripte. /var/log/hero/ Logs. Geplante Crontab: daily-sync 6h, lgm-push Di 7h, lgm-status-sync 12h, wf1-backup http://2.So 1h. Crons sind NICHT eingerichtet — Deployment ist offene Task. API Keys müssen ausgetauscht werden.",,HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Stable,Hetzner,No
"LGM Integration (Audiences, IDs, Mapping)",9. April 2026 11:34,DOC-42,Reference,No,9. April 2026 11:34,,Active,"LGM Integration Komplett-Referenz: API Details, Members, Identities, 4 Campaigns, 8 Audiences, Sequence-Mapping (Attio-Liste → DE+EN Audiences), API-Bugs + Workarounds, Datenfeld-Konventionen. Für Skript-Logik siehe lgm-push.mjs und lgm-status-sync.mjs Docs.",,HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Stable,"Attio, LGM",No
WF1 — Mantle → Attio (n8n Cloud Webhook),9. April 2026 11:34,DOC-36,Workflow Spec,No,9. April 2026 11:34,,Active,"WF1 = zentraler Echtzeit-Sync Mantle→Attio. 17 Nodes, Activity Notes integriert (Node 17). Match-Strategie: Shopify URL → Domain → Name → Create. 3-Versuch-Race-Condition-Handling. LIVE in n8n Cloud (http://herosoftware.app.n8n.cloud). Backup-Skript wf1-backup.mjs repliziert Logik für Disaster Recovery.","Sync, Webhook",HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Stable,"Attio, n8n",No
Skript: lgm-status-sync.mjs (LGM → Attio),9. April 2026 11:34,DOC-39,Workflow Spec,No,9. April 2026 11:34,,Active,"lgm-status-sync.mjs: täglich 12 Uhr, holt LGM Status global über alle Audiences und synct nach Attio. Ersetzt n8n WF3. Phase 1: Collect (alle Audiences paginiert, dedupliziert nach Email). Phase 2: Sync (Tag-Vorrang, Fallback auf status, Reply→Company-Update + Robin-Task). LGM Audiences API: res.audiences NICHT http://res.data.",Sync,HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Stable,"Attio, LGM, Python",No
Skript: wf1-backup.mjs (WF1 Recovery + Backfill),9. April 2026 11:34,DOC-40,Workflow Spec,No,9. April 2026 11:34,,Active,"wf1-backup.mjs: jeden 2. Sonntag 1 Uhr, repliziert komplette WF1-Logik gegen alle Mantle Customers. Disaster Recovery + Backfill-Werkzeug. Initialer Backfill abgeschlossen. Idempotent (skip wenn sync heute). Activity Notes mit source=backfill_run.","Backfill, Sync",HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Stable,"Attio, Python",No
Skript: lgm-push.mjs (Attio → LGM),9. April 2026 11:34,DOC-38,Workflow Spec,No,9. April 2026 11:34,,Active,"lgm-push.mjs: Dienstag 7 Uhr, pusht enrichte Leads aus 4 Attio-Listen in 8 LGM Audiences (DE+EN). Ersetzt n8n WF2 wegen 60s Timeout. Pre-Filter: enriched_by_clay/manually_enriched + sequence_status leer. Lead Quality 4-stufig. Telefon aus Custom-Feld telefon (NICHT phone_numbers). KEIN identity Feld in LGM Body.","Enrichment, Sync",HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Stable,"Attio, LGM, Python",No
Skript: daily-sync.mjs,9. April 2026 11:34,DOC-37,Workflow Spec,No,9. April 2026 11:34,,Active,"daily-sync.mjs: täglich 6 Uhr, aktualisiert MRR + Plan-Status + sync-Datum aller bekannten Mantle-Kunden in Attio. Ergänzt WF1 (das nur webhook-getriggert ist). Speicherort /opt/hero/daily-sync.mjs auf Hetzner.",Sync,HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Stable,"Attio, Python",No
n8n Debug & Fix Tracker,9. April 2026 12:05,DOC-44,Reference,No,9. April 2026 12:05,,Active,"Lebender Bug-Tracker für alle n8n-Probleme im HeroSoftware-Kontext. Komplement zum hero-n8n Skill: Skill hält statische Workflow-Specs, Doc hält gelernte Bugs + Fixes. 14 Initial-Bugs aus dem alten n8n-workflows Skill extrahiert. Bei wiederkehrenden Patterns: in den hero-n8n Skill als statische Regel übernehmen.",,HeroSoftware (https://www.notion.so/33d91df4938681a8af4cf625b0b2f0cb?pvs=21),,,Volatile,n8n,No
Cora Backend — Sprint 2 Continuity Doc (Pre-Food-Scanner Bridge),11. April 2026 12:58,DOC-45,Architecture,No,11. April 2026 12:58,8. April 2026,Active,Continuity-Bridge zwischen Cora Backend Sprint 2 und Food Scanner Track. Lesen vor jedem neuen coralate-Chat.,"Sync, Webhook",coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,Supabase,No
Food Scanner — Architecture Lock & Open Questions (V5.1 pending),11. April 2026 18:05,DOC-46,Architecture,No,11. April 2026 18:05,11. April 2026,Active,"Continuity-Bridge nach 5 Recherche-Läufen. V5.1 Ergebnisse stehen aus, danach Code-Build. Doc ist bewusst so geschrieben dass ein neuer Chat ohne Vorkontext weiterarbeiten kann.",Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Volatile,Supabase,No
"Food Scanner Master — Stack, DB-Harmonisierung, Build-Plan",11. April 2026 21:10,DOC-47,Architecture,No,11. April 2026 22:44,11. April 2026,Active,"Aktiver Stand 2026-04-11 Abend. INFOODS-Harmonisierung, EINE nutrition_db Tabelle, 7 DBs hochgeladen, Edamam raus, OFF via API+Stream, neuer Chat für Schema-Extraktion pending.",Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Volatile,Supabase,Yes
"Food Scanner Build Log — Safety, Sequence, Sessions",12. April 2026 00:13,DOC-48,Architecture,No,12. April 2026 00:13,11. April 2026,Active,Build-Log für Food Scanner. Aktiv ab 2026-04-11 Abend. Safety-Boundaries und reversible Build-Sequenz definiert. Jede Session dokumentiert hier ihren Fortschritt.,Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Volatile,Supabase,Yes
Food Scanner Execution Plan — Step-by-Step,12. April 2026 00:19,DOC-49,Architecture,No,12. April 2026 00:19,11. April 2026,Active,SOFT ARCHIVED - Execution-Plan größtenteils abgearbeitet. Aktueller Stand in Pipeline Status Doc v7 (2026-04-12). Pipeline läuft produktiv.,Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Volatile,Supabase,Yes
Coralate Food Scanner Skill — Verdichtetes Wissen,12. April 2026 00:22,DOC-50,Reference,No,12. April 2026 00:22,11. April 2026,Active,Skill-Dokument für alle Food Scanner Sessions.,Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,Supabase,Yes
"Food Scanner Handover — STEP 1+2 Done, STEP 3 Ready",12. April 2026 10:59,DOC-51,Architecture,No,12. April 2026 10:59,12. April 2026,Deprecated,"Handover Session 2026-04-12. STEP 1+2 done in Prod, STEP 3 ready.",Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,Supabase,Yes
"Food Scanner Status — STEP 3 Done, Pipeline Adjustments for Edge Function",12. April 2026 14:41,DOC-52,Architecture,Yes,12. April 2026 17:41,12. April 2026,Deprecated,"SUPERSEDED durch Food Scanner Pipeline Status v7 (Food Scanner Pipeline Status v7 — Live, Latenz-Roadmap (https://www.notion.so/34091df493868145a075e5ea7d42313a?pvs=21)) am 2026-04-12. Content bleibt als Historie.",Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Volatile,Supabase,Yes
"Food Scanner v2 Architecture — Post-Jann Adjustments, Ready for Edge Function",12. April 2026 15:16,DOC-53,Architecture,Yes,12. April 2026 17:41,12. April 2026,Deprecated,DEPRECATED 2026-04-13. War schon als SUPERSEDED markiert. Wird offiziell durch Architecture v8 Doc ersetzt nach Build+Test in Session 2026-04-13.,Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Volatile,Supabase,Yes
Edge Function Build — Handover-Prompt für nächsten Chat,12. April 2026 15:21,DOC-54,Setup Runbook,No,12. April 2026 17:41,12. April 2026,Deprecated,Handover-Prompt für Edge Function Build im nächsten Chat plus Rollback-Referenzen.,,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,Supabase,Yes
Food Scanner Pipeline Status — Stand v7 (2026-04-12),12. April 2026 17:38,DOC-55,Architecture,Yes,12. April 2026 17:41,12. April 2026,Deprecated,Konsolidierter Stand nach Latenz- und Qualitäts-Optimierungen v1-v7. Ersetzt inhaltlich Post-Jann-Adjustments-Doc.,,,"Food Scanner v1→v7 — Edge Function produktiv, Latenz 10s, Kosten unter Target (https://www.notion.so/34091df493868134be65d3f7723fb268?pvs=21)",,Stable,,Yes
"Food Scanner Pipeline Status v7 — Live, Latenz-Roadmap",12. April 2026 17:39,DOC-56,Architecture,No,12. April 2026 17:39,,Deprecated,"DEPRECATED 2026-04-13. Beschreibt v7 (GPT-4o, Pattern A image_url) — IST-Stand abweichend: produktiv ist food-scanner-gemini v8 (Gemini 2.5 Flash Lite, Pattern B base64). Wird ersetzt durch Architecture v8 Doc nach Build+Test in Session 2026-04-13.",Enrichment,,,,Volatile,Supabase,Yes
"Food Scanner Deep Research — Vision-Modelle, pgvector, Edge-Pipeline (April 2026)",12. April 2026 18:03,DOC-57,Research,No,12. April 2026 18:03,12. April 2026,Active,"Konsolidierte Research aus Perplexity + Gemini Deep Research, April 2026. Drei Dokumente: Vision-Modelle, pgvector-Optimierung, Edge-Pipeline-Architektur. Actionable Findings für v8 Planning.",Enrichment,,,,Stable,Supabase,Yes
Food Scanner — Frontend Integration Spec fuer Jann (v1),12. April 2026 18:48,DOC-58,Integration Guide,No,12. April 2026 22:50,12. April 2026,Deprecated,"Frontend-Integrationsspec fuer Jann. Backend-Contract stabil. Enthaelt SSE-Eventtypen, Expo/RN Code-Beispiele, Zustand-Store-Pattern, UI-States, Error-Handling. Backend-Optimierungen sind transparent fuer das Frontend.",,,,,Stable,Supabase,Yes
Food Scanner Backend — Supabase Doku (Stand 12.04.2026),12. April 2026 18:54,DOC-59,Architecture,No,12. April 2026 22:50,12. April 2026,Deprecated,"Vollstaendige Supabase-Backend-Doku fuer Food Scanner Stand 12.04.2026. Gemini-Function ist Haupt-Pfad, v7 Fallback. Ab hier nur noch Parameter-Tuning, keine strukturellen Aenderungen mehr.",,,,,Stable,Supabase,Yes
Food Scanner Retrieval — Taxonomy Research Findings (20 Categories),12. April 2026 21:00,DOC-60,Research,No,12. April 2026 21:00,12. April 2026,Active,ChatGPT+Perplexity Research Ergebnisse konvergent: 20-Kategorien Taxonomie für food_group_normalized.,Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,Supabase,Yes
Food Scanner — Prompt Version Log (v1 → ongoing),12. April 2026 22:23,DOC-61,Communication Log,No,12. April 2026 22:44,12. April 2026,Active,"Kontinuierliches Log aller Prompt-Versionen mit Änderung, Trigger-Learning, Scan-Ergebnissen. Cache immer leeren vor Test. Doc wird appended, nie überschrieben.",,,,,Volatile,Supabase,Yes
Food Scanner — Master Architecture & Flow (v8),13. April 2026 15:21,DOC-62,Architecture,No,13. April 2026 15:51,13. April 2026,Active,"Master-Doc nach Pipeline-Validierung 13.04.2026. Ersetzt DOC-51, DOC-52, DOC-53, DOC-54, DOC-55, DOC-56, DOC-58, DOC-59, DOC-61. Research-Docs DOC-57 und DOC-60 bleiben aktiv. Pipeline End-to-End validiert mit Test-Skript inkl. SSE Streaming, Cache, User Correction.","Auth, Enrichment, OCR",coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Stable,"React Native, Supabase",No
Roadmap Nutrient DB,14. April 2026 15:32,DOC-63,Architecture,No,14. April 2026 15:32,14. April 2026,Active,Master-Plan nach kritischer Voice-Input-Einsicht 14.04.2026. Matching-System ist zentrale Infrastruktur für Backfill + Borrowing + User-Retrieval. Laufend aktualisiert.,Enrichment,coralate (https://www.notion.so/33c91df49386813fa411f4c4e931d51f?pvs=21),,,Draft,Supabase,No
